Sphera Model Description,Pkg Type,Lead Count,Mass,Pkg Size,Family,Node,Source,Sphera Notes,Currently available similar chip to Sphera,Power dissipation (max),DigiKey (soq),DigiKey (TR1500 or 1000),Arrow (soq),Arrow (1500),Mouser (soq),Mouser (1500),Rochester (1000),Avnet (1000),FutureElectronics (soq),Avg Cost,Min Cost,,
GLO: IC BGA 144 (181mg) 10x10mm MPU generic (130 nm node) Sphera,BGA,144,181,10x10mm,MPU generic,130,Sphera,,STMicro MCU STM32F446ZEJ6TR 10x10 144UFBGA,417,12.48,8.40915,,8.03,12.96,8.41,,,,10.05783,8.03,,0.9754368632
GLO: IC BGA 144 (360mg) 13X13mm MPU generic (130 nm node) Sphera,BGA,144,360,13X13mm,MPU generic,130,Sphera,,Freescale MPU MC68VZ328CVP,1300,11.85,,,,,,11,11.366,,11.40533333,11,,
GLO: IC BGA 144 (466mg) 13x13x1.75 [based on models 2004-2014] Sphera,BGA,144,466,13x13x1.75mm,,,Sphera,based on models 2004-2014,ADI Codec ADV212BBCZ-150  144 CSBGA 13x13mm,82.5,76.92,59.61,,,,,,,,68.265,59.61,,
GLO: IC BGA 256 (2.62g) 27x27x2.36 CMOS logic (90 nm node) [based on models 2004-2014] Sphera,BGA,256,2620,27x27x2.36mm,CMOS logic,90,Sphera,based on models 2004-2014,NXP MCU SPC5646CCK0VMJ1R  17x17mm 256BGA,300,43.88,43.88,,,42.18,42.18,,41.79,,42.782,41.79,,
GLO: IC BGA 256 (4g) 27x27 mm CMOS logic (45 nm node) Sphera,BGA,256,4000,27x27mm,CMOS logic,45,Sphera,,NXP MCU SPC5748GTK1MMJ6R  17x17mm 256BGA,300,40.17,40.17,,,39.79,39.79,42.37,43.75,,41.00666667,39.79,,
GLO: IC BGA 48 (70mg) 6x6x1.1mm MPU generic (130 nm node) [based on models 2004-2014] Sphera,BGA,48,70,6x6x1.1mm,MPU generic,130,Sphera,based on models 2004-2014,SiLabs MCU EFM32TG225F8-D-BGA48  4x4mm 48BGA,380,3.34,3.34,,,,3.17,,,,3.283333333,3.17,,
GLO: IC BGA 48 (72mg) 8x6 mm MPU generic (14 nm node) Sphera,BGA,48,72,8x6mm,MPU generic,14,Sphera,,none found,,,,,,,,,,,,,,
GLO: IC BGA 672 (4.92g) 35x35x2.36 CMOS logic (14 nm node) [based on models 2004-2014] Sphera,BGA,672,4920,35x35x2.36mm,CMOS logic,14,Sphera,based on models 2004-2014,none found,,,,,,,,,,,,,,
GLO: IC BGA 672 (4.92g) 35x35x2.36 CMOS logic (65 nm node) [based on models 2004-2014] Sphera,BGA,672,4920,35x35x2.36mm,CMOS logic,65,Sphera,based on models 2004-2014,none found,,,,,,,,,,,,,,
GLO: IC BGA 672 (6.6g) 27x27 mm CMOS (14 nm node) Sphera,BGA,672,6600,27x27mm,CMOS logic,14,Sphera,,none found,,,,,,,,,,,,,,
GLO: IC DFN 10 (22.3 mg) 3x3 mm CMOS logic (14 nm node) Sphera,DFN,10,22.3,3x3mm,CMOS logic,14,Sphera,,"NXP CMOS 74AUP2T1326GF,115 10DFN",250,,0.29,,,,,0.25,0.3,,0.28,0.25,,
GLO: IC DIP 24 (1.7g) 35.5x8.2 mm CMOS logic (250 nm node) Sphera,DIP,24,1700,35.5x8.2mm,CMOS logic,250,Sphera,,Fairchild CMOS 100329APC  10.16mm wide 24PDIP,350,9.47,,,,,,8.13,8.66,,8.753333333,8.13,,
GLO: IC DIP 24 (2.59g) 35.5x8.2x3.8 [based on models 2004-2014] Sphera,DIP,24,2590,35.5x8.2x3.8mm,,,Sphera,based on models 2004-2014,TI CMOS 74LS646NT3 24DIP 7.62mm wide(300mil),168,2.12,,,,,,1.82,,,1.97,1.82,,
GLO: IC DIP 42 (6.30g) 54.6x14.1x3.9 [based on models 2004-2014] Sphera,DIP,42,6300,54.6x14.1x3.9mm,,,Sphera,based on models 2004-2014,Harris ADC HI1396JCJ 42DIP 15.24mm (600mil),1120,47.5,,,,,,40.77,44.07,,44.11333333,40.77,,
GLO: IC DIP 8 (480mg) 10.9x6.6x3.3 [based on models 2004-2014] Sphera,DIP,8,480,10.9x6.6x3.3mm,,,Sphera,based on models 2004-2014,TI OpAmp LM358P  DIP8,18.4,0.38,,0.44,,0.39,0.12,0.09,0.21,,0.2716666667,0.09,,
GLO: IC DIP 8 (538mg) 10.9x6.6 mm CMOS logic (250 nm node) Sphera,DIP,8,538,10.9x6.6mm,CMOS logic,250,Sphera,,Motorola CMOS MC75451P 8PDIP,830,,,,,,,0.39,0.42,,0.405,0.39,,
GLO: IC PLCC 20 (700mg) 8.9x8.9x3.8 [based on models 2004-2014] Sphera,PLCC,20,700,8.9x8.9x3.8mm,,,Sphera,based on models 2004-2014,Nat Semi Codec TP3067V-X,70,3.13,,,,,,2.69,,,2.91,2.69,,
GLO: IC PLCC 20 (751mg) 9x9 mm CMOS logic (250 nm node) Sphera,PLCC,20,751,9x9mm,CMOS logic,250,Sphera,,Harris CMOS CS82C82 20PLCC,80,3.54,,,,,,3.04,3.38,,3.32,3.04,,
GLO: IC PLCC 44 (2.30g) 16.6x16.6x3.8 [based on models 2004-2014] Sphera,PLCC,44,2300,16.6x16.6x3.8mm,,,Sphera,based on models 2004-2014,ADI Codec AD1847JP 44PLCC,750,10.65,,,,,,9.14,,,9.895,9.14,,
